La Mère Brazier - Mathieu Viannay,"12, rue Royale 69001 Lyon","9,5"
L'Antigny,"15, rue du Chariot d'Or 69004 Lyon","9,2"
Thai Harmonie,149 Rue Cuvier 69006 Lyon,"8,9"
Le Bistrot du 6ème,22 Rue Cuvier 69006 Lyon,"8,9"
La Tablature,"12, rue Béchevelin 69007 Lyon","8,9"
Le Petit Carron,48 avenue Felix Faure 69003 Lyon,9
Chez Eux,"180, rue de Créqui 69003 Lyon","8,9"
Restaurante Milonga,"59, Rue Ney 69006 Lyon",9
Tout le Monde à Table,1 Rue du 24 Mars 1852 69009 Lyon,"8,9"
Le Marélie,85 Rue Moncey 69003 Lyon,"9,1"
Carré Saône,"9, rue de la Quarantaine 69005 Lyon","8,8"
O Jardin,"56, rue Saint-Pierre de Vaise 69009 Lyon","8,7"
Le Bistrot Rive Gauche (BRG),"22, quai Charles de Gaulle 69006 Lyon","8,7"
Au Château d'If,127 rue de Gerland 69007 Lyon,"8,6"
La Table d'Eugène,"18, rue Royale 69001 Lyon","8,9"
Les Loges - Anthony Bonnet,"6, rue du Bœuf 69005 Lyon","9,5"
Le Lounge - Warwick Reine Astrid,"24, boulevard des Belges 69006 Lyon","8,8"
Au Temps Perdu,"2, rue des Fantasques 69001 Lyon",9
Le Caro de Lyon,"25, rue du Bât d’Argent 69001 Lyon","8,7"
Matsuri Lyon Presqu'île,7 rue de la Fromagerie 69001 Lyon,"8,8"
L'Atelier Côté Rhône,1 rue de la Victoire 69003 Lyon,"9,2"
Au 14 Février Vieux Lyon,"6, rue Mourguet 69005 Lyon","9,5"
Mika Sushi,"155, rue Cuvier 69006 Lyon","8,8"
Le Pain de Sucre,"82, rue Masséna 69006 Lyon","8,9"
Cuisine et Dépendances Acte 2 - Fabrice Bonnot,"68, rue de la Charité 69002 Lyon","9,2"
